Date,T,T2,T3
2017-01-02,0.02,0.51,0.18
2017-01-03,0.02,0.02,0.283333333
2017-01-04,0.79,0.02,0.36
2017-01-05,1.19,0.79,0.183333333
2017-01-06,-0.7,1.19,0.276666667
2017-01-09,-0.12,-0.7,0.666666667
2017-01-10,0.04,-0.12,0.426666667
2017-01-11,0.48,0.04,0.123333333
2017-01-12,-0.27,0.48,-0.26
2017-01-13,1.03,-0.27,0.133333333
2017-01-16,-1.02,1.03,0.083333333
2017-01-17,0.94,-1.02,0.413333333
2017-01-18,-0.61,0.94,-0.086666667
2017-01-19,0.28,-0.61,0.316666667
2017-01-20,0.41,0.28,-0.23
2017-01-23,0.23,0.41,0.203333333
2017-01-24,0.08,0.23,0.026666667
2017-01-25,1.27,0.08,0.306666667
2017-01-26,-0.57,1.27,0.24
2017-01-27,-0.03,-0.57,0.526666667
2017-01-30,-1.04,-0.03,0.26
2017-01-31,0.42,-1.04,0.223333333
2017-02-01,0.48,0.42,-0.546666667
2017-02-02,-0.14,0.48,-0.216666667
2017-02-03,0.6,-0.14,-0.046666667
2017-02-06,-0.9,0.6,0.253333333
2017-02-07,-0.22,-0.9,0.313333333
2017-02-08,0.27,-0.22,-0.146666667
2017-02-09,0.26,0.27,-0.173333333
2017-02-10,0.05,0.26,-0.283333333
2017-02-13,0.46,0.05,0.103333333
2017-02-14,-0.2,0.46,0.193333333
2017-02-15,0.49,-0.2,0.256666667
2017-02-16,0.5,0.49,0.103333333
2017-02-17,-0.62,0.5,0.25
2017-02-20,0.2,-0.62,0.263333333
2017-02-21,-0.09,0.2,0.123333333
2017-02-22,0.08,-0.09,0.026666667
2017-02-23,0.2,0.08,-0.17
2017-02-24,-1.06,0.2,0.063333333
2017-02-27,0.22,-1.06,0.063333333
2017-02-28,0.1,0.22,-0.26
2017-03-01,1.06,0.1,-0.213333333
2017-03-02,-0.29,1.06,-0.246666667
2017-03-03,0.86,-0.29,0.46
2017-03-06,-0.68,0.86,0.29
2017-03-07,-0.3,-0.68,0.543333333
2017-03-08,-0.23,-0.3,-0.036666667
2017-03-09,0.44,-0.23,-0.04
2017-03-10,0.89,0.44,-0.403333333
2017-03-13,0.31,0.89,-0.03
2017-03-14,-0.77,0.31,0.366666667
2017-03-15,1.33,-0.77,0.546666667
2017-03-16,1.16,1.33,0.143333333
2017-03-17,0.09,1.16,0.29
2017-03-20,-0.07,0.09,0.573333333
2017-03-21,0.01,-0.07,0.86
2017-03-22,-0.46,0.01,0.393333333
2017-03-23,0.63,-0.46,0.01
2017-03-24,0.07,0.63,-0.173333333
2017-03-27,0.25,0.07,0.06
2017-03-28,-0.01,0.25,0.08
2017-03-29,-0.01,-0.01,0.316666667
2017-03-30,-0.19,-0.01,0.103333333
2017-03-31,0.14,-0.19,0.076666667
2017-04-03,-0.4,0.14,-0.07
2017-04-04,0.16,-0.4,-0.02
2017-04-05,-0.01,0.16,-0.15
2017-04-06,-0.02,-0.01,-0.033333333
2017-04-07,-0.28,-0.02,-0.083333333
2017-04-10,0.12,-0.28,0.043333333
2017-04-11,0.19,0.12,-0.103333333
2017-04-12,0.6,0.19,-0.06
2017-04-13,-0.73,0.6,0.01
2017-04-14,0.05,-0.73,0.303333333
2017-04-17,0.29,0.05,0.02
2017-04-18,-0.15,0.29,-0.026666667
2017-04-19,-0.06,-0.15,-0.13
2017-04-20,0.45,-0.06,0.063333333
2017-04-21,-0.04,0.45,0.026666667
2017-04-24,3.37,-0.04,0.08
2017-04-25,0.91,3.37,0.116666667
2017-04-26,0.1,0.91,1.26
2017-04-27,-0.24,0.1,1.413333333
2017-04-28,0.19,-0.24,1.46
2017-05-01,-0.14,0.19,0.256666667
2017-05-02,1.15,-0.14,0.016666667
2017-05-03,-0.49,1.15,-0.063333333
2017-05-04,1.56,-0.49,0.4
2017-05-05,0.91,1.56,0.173333333
2017-05-08,-0.73,0.91,0.74
2017-05-09,0,-0.73,0.66
2017-05-10,0.11,0,0.58
2017-05-11,-0.37,0.11,0.06
2017-05-12,0.9,-0.37,-0.206666667
2017-05-15,0.59,0.9,-0.086666667
2017-05-16,1.08,0.59,0.213333333
2017-05-17,-0.67,1.08,0.373333333
2017-05-18,-0.87,-0.67,0.856666667
2017-05-19,1.63,-0.87,0.333333333
2017-05-22,0.32,1.63,-0.153333333
2017-05-23,-0.15,0.32,0.03
2017-05-24,0.4,-0.15,0.36
2017-05-25,-0.09,0.4,0.6
2017-05-26,-0.36,-0.09,0.19
2017-05-29,-0.21,-0.36,0.053333333
2017-05-30,0.14,-0.21,-0.016666667
2017-05-31,0.36,0.14,-0.22
2017-06-01,0.26,0.36,-0.143333333
2017-06-02,0.91,0.26,0.096666667
2017-06-05,-0.45,0.91,0.253333333
2017-06-06,-0.37,-0.45,0.51
2017-06-07,-0.07,-0.37,0.24
2017-06-08,-0.4,-0.07,0.03
2017-06-09,-0.01,-0.4,-0.296666667
2017-06-12,-0.82,-0.01,-0.28
2017-06-13,0.69,-0.82,-0.16
2017-06-14,-0.06,0.69,-0.41
2017-06-15,-1.18,-0.06,-0.046666667
2017-06-16,1.07,-1.18,-0.063333333
2017-06-19,0.44,1.07,-0.183333333
